Family,Species,Genus,Epithet,Author(s),Status,UsageID,Tax source,Reference I,Reference II,Reference III,Hemi,,,
Apocynaceae,Dischidia longipedunculata,Dischidia,longipedunculata,Ridl.,accepted,wfo-0000651698,wfo,Rintz (1980),,,,,,
Apocynaceae,Dischidia major,Dischidia,major,(Vahl) Merr.,accepted,wfo-0000651699,wfo,Rintz (1980),,,,,,
Apocynaceae,Dischidia nummularia,Dischidia,nummularia,R.Br.,accepted,wfo-0000651716,wfo,Chong et al. (2009),Rintz (1980),,,,,
Apocynaceae,Dischidia ovata,Dischidia,ovata,Benth.,accepted,wfo-0000651722,wfo,WCSP (2019),,,,,,
Apocynaceae,Dischidia parvifolia,Dischidia,parvifolia,Ridl.,accepted,wfo-0000651726,wfo,Rintz (1980),,,,,,
Apocynaceae,Dischidia pseudobenghalensis,Dischidia,pseudobenghalensis,Costantin,accepted,wfo-0000651737,wfo,Eskov (pers. comm.),,,,,,
Apocynaceae,Dischidia punctata,Dischidia,punctata,(Blume) Decne.,accepted,wfo-0000651742,wfo,Maloney (1983),Rintz (1980),,,,,
Apocynaceae,Dischidia rhodantha,Dischidia,rhodantha,Ridl.,accepted,wfo-0000651750,wfo,Rintz (1980),,,,,,
Apocynaceae,Dischidia saccata,Dischidia,saccata,Warb.,accepted,wfo-0000651762,wfo,Chapman (1976),,,,,,
Apocynaceae,Dischidia scortechinii,Dischidia,scortechinii,King & Gamble,accepted,wfo-0000651766,wfo,Rintz (1980),,,,,,
Apocynaceae,Dischidia singaporensis,Dischidia,singaporensis,Ridl.,accepted,wfo-0000651771,wfo,Chong et al. (2009),Rintz (1980),,,,,
Apocynaceae,Dischidia subulata,Dischidia,subulata,Warb.,accepted,wfo-0000651779,wfo,Rintz (1980),,,,,,
Apocynaceae,Dischidia superba,Dischidia,superba,Rintz,accepted,wfo-0000651781,wfo,Rintz (1979),,,,,,
Apocynaceae,Dischidia tomentella,Dischidia,tomentella,Ridl.,accepted,wfo-0000651784,wfo,Rintz (1980),,,,,,
Apocynaceae,Dischidia tonkinensis,Dischidia,tonkinensis,Costantin,accepted,wfo-0000651785,wfo,Eskov (pers. comm.),,,,,,
Apocynaceae,Dischidia tonsa,Dischidia,tonsa,Schltr.,accepted,wfo-0000651786,wfo,Schlechter (1915),,,,,,
Apocynaceae,Dischidia vadosa,Dischidia,vadosa,Rintz,accepted,wfo-0000651793,wfo,Rintz (1979),,,,,,
Apocynaceae,Dischidia vidalii,Dischidia,vidalii,Becc.,accepted,wfo-0000651795,wfo,Chong et al. (2009),,,,,,
Apocynaceae,Dischidia wallichii,Dischidia,wallichii,Wight,ambiguous,wfo-0000651798,wfo,WCSP (2019),,,,,,
Apocynaceae,Dischidiopsis carinata,Dischidiopsis,carinata,Schltr.,accepted,wfo-0000651801,wfo,Schlechter (1915),,,,,,
Apocynaceae,Dischidiopsis copelandii,Dischidiopsis,copelandii,(Schltr.) Schltr.,accepted,wfo-0000651802,wfo,Mabberley (1987),,,,,,
Apocynaceae,Dischidiopsis imberbis,Dischidiopsis,imberbis,Schltr.,accepted,wfo-0000651803,wfo,Schlechter (1915),,,,,,
Apocynaceae,Dischidiopsis incrassata,Dischidiopsis,incrassata,Schltr.,accepted,wfo-0000651804,wfo,Schlechter (1915),,,,,,
Apocynaceae,Dischidiopsis luzonica,Dischidiopsis,luzonica,Schltr.,accepted,wfo-0000651805,wfo,Schlechter (1915),,,,,,
Apocynaceae,Dischidiopsis mariae,Dischidiopsis,mariae,Schltr.,accepted,wfo-0000651806,wfo,Schlechter (1915),,,,,,
Apocynaceae,Dischidiopsis papuana,Dischidiopsis,papuana,(Warb.) Schltr.,accepted,wfo-0000651807,wfo,Mabberley (1987),,,,,,
Apocynaceae,Dischidiopsis parasitica,Dischidiopsis,parasitica,(Blanco) Merr.,accepted,wfo-0000651808,wfo,Mabberley (1987),,,,,,
Apocynaceae,Epistemma assianum,Epistemma,assianum,D.V.Field & J.B.Hall,accepted,wfo-0000670347,wfo,Venter and Verhoeven (2001),,,,,,
Apocynaceae,Epistemma decurrens,Epistemma,decurrens,H.Huber,accepted,wfo-0000670348,wfo,Venter and Verhoeven (2001),,,,,,
Apocynaceae,Epistemma neuerburgii,Epistemma,neuerburgii,Eb.Fisch. & Venter,ambiguous,wfo-0000749268,wfo,Fischer et al. (2011),,,,,,
Apocynaceae,Heynella lactea,Heynella,lactea,Backer,ambiguous,wfo-0000721853,wfo,Omlor (1996),,,,,,
Apocynaceae,Hiepia corymbosa,Hiepia,corymbosa,V.T.Pham & Aver.,accepted,wfo-0000921781,wfo,Pham and Averyanov (2011),,,,,,
Apocynaceae,Hoya acicularis,Hoya,acicularis,T.Green & Kloppenb.,ambiguous,wfo-0000725117,wfo,Kloppenburg (2004),,,,,,
